word;transcription;translation;class
a;[ə,(eı)];один;indefinite article
about;[əʹbaʋt];около;adverb
about;[əʹbaʋt];о;preposition
above;[əʹbʌv];выше;adverb
above;[əʹbʌv];над;preposition
across;[əʹkrɒs];через;adverb
across;[əʹkrɒs];напротив;preposition
action;[ʹækʃ(ə)n];действие;noun
activity;[ækʹtıvıtı];деятельность;noun
actor;[ʹæktə];актер;noun
actress;[ʹæktrıs];актриса;noun
add;[æd];добавить;verb
address;[əʹdres];адрес;noun
adult;[ʹædʌlt];взрослая;noun
advice;[ədʹvaıs];совет;noun
afraid;[əʹfreıd];испуганный;adjective
after;[ʹɑ:ftə];через;preposition
afternoon;[͵ɑ:ftəʹnu:n];день;noun
again;[əʹge(ı)n];снова;adverb
age;[eıdʒ];возраст;noun
ago;[əʹgəʋ];назад;adverb
agree;[əʹgri:];согласиться;verb
air;[eə];воздух;noun
airport;[ʹeəpɔ:t];аэропорт;noun
all;[ɔ:l];все;determiner
all;[ɔ:l];всё;pronoun
also;[ʹɔ:lsəʋ];также;adverb
always;[ʹɔ:lw(e)ız];всегда;adverb
amazing;[əʹmeızıŋ];удивительный;adjective
and;[ænd];и;conjunction
angry;[ʹæŋgrı];злой;adjective
animal;[ʹænım(ə)l];животное;noun
another;[əʹnʌðə];еще один;determiner
another;[əʹnʌðə];другой;pronoun
answer;[ʹɑ:nsə];ответ;noun
answer;[ʹɑ:nsə];ответить на;verb
any;[ʹenı];любой;determiner
any;[ʹenı];любой;pronoun
anyone;[ʹenıwʌn];никто;pronoun
anything;[ʹenıθıŋ];ничего;pronoun
apartment;[əʹpɑ:tmənt];квартира;noun
apple;[ʹæp(ə)l];яблоко;noun
april;[ʹeıprəl];апрель;noun
area;[ʹe(ə)rıə];область;noun
arm;[ɑ:m];рука;noun
around;[əʹraʋnd];вокруг;adverb
around;[əʹraʋnd];до;preposition
arrive;[əʹraıv];прибыть;verb
art;[ɑ:t];искусство;noun
article;[ʹɑ:tık(ə)l];статья;noun
artist;[ʹɑ:tıst];художник;noun
as;[æz];на;preposition
ask;[ɑ:sk];спросить;verb
at;[æt];на;preposition
august;[ɔ:ʹgʌst];август;noun
aunt;[ɑ:nt];тетя;noun
autumn;[ʹɔ:təm];осень;noun
away;[əʹweı];подальше;adverb
baby;[ʹbeıbı];ребенок;noun
back;[bæk];обратно;adverb
back;[bæk];спина;noun
bad;[bæd];плохой;adjective
bag;[bæg];сумка;noun
ball;[bɔ:l];мяч;noun
banana;[bəʹnɑ:nə];банан;noun
band;[bænd];группа;noun
bank;[bæŋk];банк;noun
bath;[bɑ:θ];ванна;noun
bathroom;[ʹbɑ:θru(:)m];туалет;noun
be;[bi:];быть;verb
be;[bi:];быть;auxiliary verb
beach;[bi:tʃ];пляж;noun
beautiful;[ʹbju:tıf(ə)l];красивый;adjective
because;[bıʹkɒz];ведь;conjunction
become;[bıʹkʌm];стать;verb
bed;[bed];кровать;noun
